India/States/Uts,Total-2006,Total-2007,Total-2008,Total-2009,Total-2010,Total-2011,Total-2012,Rural-2006,Rural-2007,Rural-2008,Rural-2009,Rural-2010,Rural-2011,Rural-2012,Urban-2006,Urban-2007,Urban-2008,Urban-2009,Urban-2010,Urban-2011,Urban-2012
INDIA,57,55,53,50,47,44,42,62,61,58,55,51,48,46,39,37,36,34,31,29,28
Andhra Pradesh,56,54,52,49,46,43,41,62,60,58,54,51,47,46,38,37,36,35,33,31,30
Assam,67,66,64,61,58,55,55,70,68,66,64,60,58,58,42,41,39,37,36,34,33
Bihar,60,58,56,52,48,44,43,62,59,57,53,49,45,44,45,44,42,40,38,34,34
Chhatisgarh,61,59,57,54,51,48,47,62,61,59,55,52,49,48,50,49,48,47,44,41,39
Delhi,37,36,35,33,30,28,25,42,41,40,40,37,36,36,36,35,34,31,29,26,23
Gujarat,53,52,50,48,44,41,38,62,60,58,55,51,48,45,37,36,35,33,30,27,24
Haryana,57,55,54,51,48,44,42,62,60,58,54,51,48,46,45,44,43,41,38,35,33
Himachal Pradesh,50,47,44,45,40,38,36,52,49,45,46,41,38,37,26,25,27,28,29,28,25
Jammu and Kashmir,52,51,49,45,43,41,39,54,53,51,48,45,43,41,38,38,37,34,32,28,28
Jharkhand,49,48,46,44,42,39,38,52,51,49,46,44,41,39,32,31,32,30,30,28,27
Karnataka,48,47,45,41,38,35,32,53,52,50,47,43,39,36,36,35,33,31,28,26,25
Kerala,15,13,12,12,13,12,12,16,14,12,12,14,13,13,12,10,10,11,10,9,9
Madhya Pradesh,74,72,70,67,62,59,56,79,77,75,72,67,63,60,52,50,48,45,42,39,37
Maharastra,35,34,33,31,28,25,25,42,41,40,37,34,30,30,26,24,23,22,20,17,17
Odisha,73,71,69,65,61,57,53,76,73,71,68,63,58,55,53,52,49,46,43,40,39
Punjab,44,43,41,38,34,30,28,48,47,45,42,37,33,30,36,35,33,31,28,25,24
Rajasthan,67,65,63,59,55,52,49,74,72,69,65,61,57,54,41,40,38,35,31,32,31
Tamil Nadu,37,35,31,28,24,22,21,39,38,34,30,25,24,24,33,31,28,26,22,19,18
Uttar Pradesh,71,69,67,63,61,57,53,75,72,70,66,64,60,56,53,51,49,47,44,41,39
West Bengal,38,37,35,33,31,32,32,40,39,37,34,32,33,33,29,29,29,27,25,26,26
Arunachal Pradesh,40,37,32,32,31,32,33,44,41,34,35,34,36,37,19,15,19,14,12,10,13
Goa,15,13,10,11,10,11,10,14,11,10,11,10,6,8,16,13,11,10,10,13,11
Manipur,11,12,14,16,14,11,10,11,13,16,18,15,11,10,11,9,8,11,9,12,11
Meghalaya,53,56,58,59,55,52,49,54,57,60,61,58,54,50,43,46,43,40,37,38,40
Mizoram,25,23,37,36,37,34,35,32,27,45,45,47,43,44,13,16,24,19,21,19,19
Nagaland,20,21,26,26,23,21,18,18,18,25,27,24,21,18,27,29,28,23,20,20,18
Sikkim,33,34,33,34,30,26,24,35,36,35,36,31,28,25,16,20,19,21,19,17,16
Tripura,36,39,34,31,27,29,28,37,40,36,33,29,31,29,30,32,26,20,19,19,19
Uttarakhand,43,48,44,41,38,36,34,54,52,48,44,41,39,36,22,25,24,27,25,23,23
Andaman and Nicobar Islands,31,34,31,27,25,23,24,35,38,35,31,29,28,31,21,23,23,20,18,14,12
Chandigarh,23,27,28,25,22,20,20,23,25,22,25,20,19,20,23,28,29,25,23,20,20
Dadra and Nagar Haveli,35,34,34,37,38,35,33,38,38,38,41,43,39,37,24,18,20,24,22,22,20
Daman and Diu,28,27,31,24,23,22,22,33,29,29,21,19,18,18,18,23,36,30,29,29,29
Lakshadweep,25,24,31,25,25,24,24,19,25,28,22,23,21,21,31,23,35,28,27,27,28
Puducherry,28,25,25,22,22,19,17,35,31,31,28,25,21,18,24,22,22,19,21,18,16
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
